Basin,RiverStyle,RS,Condition,C
Asotin,Fan Controlled,FC,poor,1
Asotin,Fan Controlled,FC,moderate,1.02
Asotin,Fan Controlled,FC,good,1.08
Asotin,Alluvial Fan,AF,poor,1
Asotin,Alluvial Fan,AF,moderate,2
Asotin,Alluvial Fan,AF,good,3
Asotin,Planform Controlled,PC,poor,1
Asotin,Planform Controlled,PC,moderate,1.2
Asotin,Planform Controlled,PC,good,1.5
Asotin,Wandering gravel bed,WA,poor,1
Asotin,Wandering gravel bed,WA,moderate,1.5
Asotin,Wandering gravel bed,WA,good,2
Asotin,Confined Valley,CV,poor,1
Asotin,Confined with Floodplain pockets,CV,moderate,1.05
Asotin,Confined with Floodplain pockets,CV,good,1.1
