GU,GUKey,UnitID,ForceType,ForceElem,ForceHyd,Perimeter,ElongRatio,Morphology,Position,Orient,OrientCat,bfSlope,bfSlopeSm,bedSlope,Area,Width,Length,LtoWRatio,bfwRatio,ThalwegCh,ThalwegTyp,ThalwegCt,VisitID
Bank,Bk,1,"NA","NA","NA",19.6000009328,0.202683089683,Elongated,Margin Attached,10.6649621856,Longitudinal,1.35555904447,1.20606544306,17.4296443666,2.23000021286,0.268234555581,8.31362017482,30.9938447595,0.0323174163351,None,None,0,1027
Bank,Bk,2,"NA","NA","NA",48.6000023074,0.19602735337,Elongated,Margin Attached,-0.985173030102,Longitudinal,1.36089408751,1.00134139487,23.3339131833,10.6600010133,0.567205007952,18.7939120139,33.1342490818,0.0683379527653,None,None,0,1027
Bank,Bk,3,"NA","NA","NA",34.6000016443,0.239516170098,Elongated,Margin Attached,-1.78164753103,Longitudinal,0.891870658173,0.767348249726,17.4263857776,7.24000068767,0.571148314641,12.6762182468,22.1942670964,0.0688130499568,None,None,0,1027
Bank,Bk,4,"NA","NA","NA",124.800005926,0.135150459488,Elongated,Margin Attached,5.82117966156,Longitudinal,0.826131042083,0.728601316853,23.3920169034,33.2700031582,0.690857862998,48.1575226109,69.7068459233,0.0832358871082,None,None,0,1027
Bank,Bk,5,"NA","NA","NA",33.8000016082,0.215775992661,Elongated,Margin Attached,6.07819412315,Longitudinal,0.892832995876,0.848894570169,21.0612336339,8.39000079719,0.55389683241,15.1472265344,27.3466567203,0.0667345581217,None,None,0,1027
Bank,Bk,6,"NA","NA","NA",167.000007935,0.108635657857,Elongated,Margin Attached,8.37777667547,Longitudinal,1.53547447526,0.997506980118,26.3967859739,40.1100038119,0.609738344847,65.7823214677,107.886148253,0.0734624511864,None,None,0,1027
Bank,Bk,7,"NA","NA","NA",45.600002164,0.17880714971,Elongated,Margin Attached,-0.56612991731,Longitudinal,1.0239940608,0.830868210264,24.7046704479,6.68000063308,0.409560334865,16.3101747519,39.8236190456,0.0493446186584,None,None,0,1027
Bank,Bk,8,"NA","NA","NA",82.8000039272,0.162494848727,Elongated,Margin Attached,-8.84912635908,Longitudinal,1.02415108784,0.615781399268,25.3092589394,17.720001683,0.606200422287,29.2312592198,48.2204534096,0.0730361954563,Main,Split,1,1027
Bank,Bk,9,"NA","NA","NA",231.199911028,0.107786243782,Elongated,Margin Attached,7.9676730673,Longitudinal,0.934539321569,0.789643735808,21.2774205355,59.6400006663,0.737695126999,80.8464072536,109.593251053,0.0888789309638,None,None,0,1027
Bank,Bk,10,"NA","NA","NA",106.000005038,0.134434930036,Elongated,Margin Attached,36.1159827419,Diagonal,1.570705441,1.23251406128,32.0505023821,21.8400020741,0.556779479157,39.2255873137,70.4508495412,0.0670818649586,None,None,0,1027
