gut.layer,visit.id,n.units,bf.area.m2,wet.area.m2,main.thalweg.length.m,thalweg.length.m,thalweg.length.ratio,edge.length.area.ratio,edge.dens.main.thalweg,edge.dens.thalwegs,edge.dens.xs
Tier2_InChannel,1027,110,1689.122,1460.999,210.211,257.515,1.225,1.726,0.238,0.33,1.171
Tier2_InChannel,1029,199,1703.582,1209.404,177.472,420.353,2.369,2.002,0.501,0.602,1.248
Tier2_InChannel,1096,76,18490.873,12044.255,532.129,672.556,1.264,0.449,0.07,0.086,0.308
Tier2_InChannel,1164,95,936.046,567.588,123.73,187.061,1.512,2.009,0.477,0.636,1.34
Tier2_InChannel,1175,165,1071.517,625.026,151.767,278.026,1.832,2.364,0.58,0.633,1.562
Tier2_InChannel,1448,179,4232.429,2884.025,281.407,608.14,2.161,1.185,0.146,0.291,0.766
Tier2_InChannel,1486,92,3335.073,3001.347,285.992,362.216,1.267,1.18,0.357,0.334,0.819
Tier2_InChannel,1494,75,4225.77,3846.588,318.606,343.49,1.078,1.057,0.185,0.207,0.764
Tier2_InChannel,1521,94,21381.844,16949.086,634.484,831.66,1.311,0.488,0.093,0.123,0.326
Tier2_InChannel,1545,144,605.99,460.305,125.183,234.967,1.877,3.055,0.591,0.787,1.682
Tier2_InChannel,1549,102,557.424,295.062,122.227,145.606,1.191,2.848,0.36,0.44,1.886
Tier2_InChannel,157,107,467.633,226.361,115.934,149.578,1.29,2.672,0.638,0.615,1.805
Tier2_InChannel,1587,90,3410.216,2729.544,249.785,314.872,1.261,1.087,0.236,0.286,0.748
Tier2_InChannel,1596,128,7744.422,5713.037,301.184,720.315,2.392,0.834,0.126,0.19,0.553
Tier2_InChannel,1602,117,7253.006,5539.187,364.373,604.29,1.658,0.896,0.187,0.255,0.623
Tier2_InChannel,1621,139,508.808,412.759,119.705,141.153,1.179,2.864,0.769,0.793,1.761
Tier2_InChannel,1735,186,2087.556,1438.713,209.059,474.247,2.268,1.873,0.512,0.654,1.123
Tier2_InChannel,1783,74,9976.816,8545.172,335.954,478.247,1.424,0.564,0.191,0.163,0.382
Tier2_InChannel,1793,81,9978.441,9090.376,321.036,540.056,1.682,0.538,0.1,0.122,0.353
Tier2_InChannel,1846,82,11988.061,7566.135,373.924,639.023,1.709,0.542,0.152,0.131,0.324
Tier2_InChannel,1954,397,3328.02,2179.53,165.524,626.386,3.784,2.04,0.477,0.597,NA
Tier2_InChannel,1967,184,988.104,764.784,181.714,277.059,1.525,2.556,0.655,0.762,1.713
Tier2_InChannel,197,190,989.249,781.27,143.231,332.058,2.318,2.396,0.901,1.009,1.503
Tier2_InChannel,1971,211,3206.576,1798.333,203.437,648.634,3.188,1.713,0.324,0.478,NA
Tier2_InChannel,2014,185,856.451,615.924,174.188,252.67,1.451,2.698,0.735,0.863,1.708
Tier2_InChannel,2019,261,5107.323,3962.729,337.281,680.465,2.018,1.406,0.32,0.436,0.983
Tier2_InChannel,2021,105,1156.451,1024.021,168.664,197.479,1.171,2.018,0.391,0.42,1.382
Tier2_InChannel,2026,275,6688.749,4429.285,454.59,792.16,1.743,1.372,0.337,0.53,0.898
Tier2_InChannel,2027,128,14355.699,10352.315,626.448,946.944,1.512,0.712,0.18,0.19,0.488
Tier2_InChannel,2028,121,5749.389,4769.253,373.919,456.009,1.22,1.078,0.348,0.379,0.702
Tier2_InChannel,2051,211,1155.799,966.282,153.076,275.083,1.797,2.219,0.529,0.727,1.383
Tier2_InChannel,2056,115,5538.374,3651.765,292.274,410.514,1.405,0.959,0.253,0.239,0.737
