gut.layer,visit.id,n.units,bf.area.m2,wet.area.m2,main.thalweg.length.m,thalweg.length.m,thalweg.length.ratio,edge.length.area.ratio,edge.dens.main.thalweg,edge.dens.thalwegs,edge.dens.xs
Tier3_InChannel_GU,1027,71,1689.122,1460.999,210.211,257.515,1.225,1.327,0.162,0.233,0.871
Tier3_InChannel_GU,1029,116,1703.582,1209.404,177.472,420.353,2.369,1.617,0.361,0.404,1.002
Tier3_InChannel_GU,1096,40,18490.873,12044.255,532.129,672.556,1.264,0.324,0.041,0.057,0.213
Tier3_InChannel_GU,1164,56,936.046,567.588,123.73,187.061,1.512,1.419,0.315,0.369,0.943
Tier3_InChannel_GU,1175,116,1071.517,625.026,151.767,278.026,1.832,1.688,0.409,0.403,1.121
Tier3_InChannel_GU,1448,144,4232.429,2884.025,281.407,608.14,2.161,0.905,0.096,0.209,0.558
Tier3_InChannel_GU,1486,68,3335.073,3001.347,285.992,362.216,1.267,0.838,0.266,0.221,0.571
Tier3_InChannel_GU,1494,44,4225.77,3846.588,318.606,343.49,1.078,0.762,0.132,0.146,0.535
Tier3_InChannel_GU,1521,55,21381.844,16949.086,634.484,831.66,1.311,0.341,0.071,0.078,0.218
Tier3_InChannel_GU,1545,95,605.99,460.305,125.183,234.967,1.877,2.366,0.359,0.434,1.294
Tier3_InChannel_GU,1549,52,557.424,295.062,122.227,145.606,1.191,2.137,0.196,0.268,1.435
Tier3_InChannel_GU,157,126,467.633,226.361,115.934,149.578,1.29,2.304,0.449,0.401,1.54
Tier3_InChannel_GU,1587,64,3410.216,2729.544,249.785,314.872,1.261,0.733,0.144,0.13,0.468
Tier3_InChannel_GU,1596,99,7744.422,5713.037,301.184,720.315,2.392,0.652,0.076,0.132,0.401
Tier3_InChannel_GU,1602,73,7253.006,5539.187,364.373,604.29,1.658,0.642,0.132,0.152,0.432
Tier3_InChannel_GU,1621,100,508.808,412.759,119.705,141.153,1.179,2.282,0.576,0.588,1.318
Tier3_InChannel_GU,1735,121,2087.556,1438.713,209.059,474.247,2.268,1.38,0.378,0.468,0.823
Tier3_InChannel_GU,1783,45,9976.816,8545.172,335.954,478.247,1.424,0.396,0.098,0.082,0.255
Tier3_InChannel_GU,1793,43,9978.441,9090.376,321.036,540.056,1.682,0.382,0.053,0.067,0.249
Tier3_InChannel_GU,1846,68,11988.061,7566.135,373.924,639.023,1.709,0.442,0.094,0.089,0.243
Tier3_InChannel_GU,1954,212,3328.02,2179.53,165.524,626.386,3.784,1.585,0.375,0.399,NA
Tier3_InChannel_GU,1967,136,988.104,764.784,181.714,277.059,1.525,2.086,0.517,0.552,1.408
Tier3_InChannel_GU,197,151,989.249,781.27,143.231,332.058,2.318,1.814,0.454,0.56,1.18
