visit.id,UnitForm,model,species,lifestage,area.delft,hab.area.suitable,pred.fish,med,mean,sd,med.suitable,mean.suitable,sd.suitable
1027,Bowl,nrei,steelhead,juvenile,187.25,124.93,84,30.653,-29.23,110.332,NA,NA,NA
1027,Bowl Transition,nrei,steelhead,juvenile,121.94,35.17,31,-148.908,-141.408,167.567,NA,NA,NA
1027,Mound,nrei,steelhead,juvenile,112.62,14.091,6,-15.476,-12.188,28.154,NA,NA,NA
1027,Mound Transition,nrei,steelhead,juvenile,118.961,53.44,21,8.184,7.243,36.084,NA,NA,NA
1027,Plane,nrei,steelhead,juvenile,235.34,165.351,87,25.205,13.182,57.699,NA,NA,NA
1027,Saddle,nrei,steelhead,juvenile,245.27,189.56,114,33.285,6.449,68.81,NA,NA,NA
1027,Trough,nrei,steelhead,juvenile,273.68,147.48,97,24.918,-22.41,94.445,NA,NA,NA
1027,Wall,nrei,steelhead,juvenile,114.10000000000001,24.738,11,0.586,7.802,37.161,NA,NA,NA
1027,Bowl,fuzzy,chinook,spawner,187.25,159.89,6,0.726,0.66,0.194,NA,NA,NA
1027,Bowl Transition,fuzzy,chinook,spawner,121.94,65.43,3,0.408,0.459,0.194,NA,NA,NA
1027,Mound,fuzzy,chinook,spawner,112.62,13.041,0,0.078,0.181,0.149,NA,NA,NA
1027,Mound Transition,fuzzy,chinook,spawner,118.961,39.891,0,0.3,0.331,0.182,NA,NA,NA
1027,Plane,fuzzy,chinook,spawner,235.34,151.76000000000002,0,0.478,0.484,0.169,NA,NA,NA
1027,Saddle,fuzzy,chinook,spawner,245.27,215.69,5,0.617,0.604,0.175,NA,NA,NA
1027,Trough,fuzzy,chinook,spawner,273.68,222.91,7,0.57,0.588,0.199,NA,NA,NA
1027,Wall,fuzzy,chinook,spawner,114.10000000000001,26.928,0,0.217,0.286,0.221,NA,NA,NA
1027,Bowl,fuzzy,steelhead,spawner,187.25,155.77,9,0.726,0.653,0.205,NA,NA,NA
1027,Bowl Transition,fuzzy,steelhead,spawner,121.94,53.14,3,0.335,0.436,0.209,NA,NA,NA
1027,Mound,fuzzy,steelhead,spawner,112.62,13.211,0,0.078,0.167,0.152,NA,NA,NA
1027,Mound Transition,fuzzy,steelhead,spawner,118.961,40.851,0,0.3,0.303,0.207,NA,NA,NA
1027,Plane,fuzzy,steelhead,spawner,235.34,158.64,0,0.479,0.479,0.181,NA,NA,NA
1027,Saddle,fuzzy,steelhead,spawner,245.27,217.63,6,0.617,0.601,0.187,NA,NA,NA
1027,Trough,fuzzy,steelhead,spawner,273.68,214.61999999999998,10,0.57,0.582,0.208,NA,NA,NA
1027,Wall,fuzzy,steelhead,spawner,114.10000000000001,27.188,1,0.162,0.276,0.228,NA,NA,NA
1027,Bowl,fuzzy,chinook,juvenile,187.25,31.36,28,0.202,0.241,0.169,NA,NA,NA
1027,Bowl Transition,fuzzy,chinook,juvenile,121.94,16.7,30,0.085,0.198,0.185,NA,NA,NA
1027,Mound,fuzzy,chinook,juvenile,112.62,12.811,1,0.078,0.167,0.157,NA,NA,NA
1027,Mound Transition,fuzzy,chinook,juvenile,118.961,35.08,41,0.253,0.289,0.211,NA,NA,NA
1027,Plane,fuzzy,chinook,juvenile,235.34,95.101,101,0.362,0.364,0.18,NA,NA,NA
1027,Saddle,fuzzy,chinook,juvenile,245.27,60.660000000000004,15,0.289,0.284,0.154,NA,NA,NA
