visit.id,GU,model,species,lifestage,area.delft,hab.area.suitable,pred.fish,med,mean,sd,med.suitable,mean.suitable,sd.suitable
1027,Bank,nrei,steelhead,juvenile,121.60000000000001,26.448,12,-0.085,7.125,36.592,NA,NA,NA
1027,Glide-Run,nrei,steelhead,juvenile,564.55,303.07,184,5.866,-48.288,128.474,NA,NA,NA
1027,Margin Attached Bar,nrei,steelhead,juvenile,95.39,11.681,5,-14.878,-11.758,29.544,NA,NA,NA
1027,Mid Channel Bar,nrei,steelhead,juvenile,6.62,0,0,-29.87,-29.539,5.946,NA,NA,NA
1027,Pocket Pool,nrei,steelhead,juvenile,4.609999999999999,2.92,2,-14.036,-29.921,77.204,NA,NA,NA
1027,Pool,nrei,steelhead,juvenile,182.64000000000001,122.01,82,31.166,-29.215,110.939,NA,NA,NA
1027,Riffle,nrei,steelhead,juvenile,245.27,189.56,114,33.285,6.449,68.81,NA,NA,NA
1027,Transition,nrei,steelhead,juvenile,188.481,99.07,52,17.284,8.922,57.71,NA,NA,NA
1027,Bank,fuzzy,chinook,spawner,121.60000000000001,28.698,0,0.217,0.286,0.215,NA,NA,NA
1027,Glide-Run,fuzzy,chinook,spawner,564.55,386.63,9,0.502,0.521,0.198,NA,NA,NA
1027,Margin Attached Bar,fuzzy,chinook,spawner,95.39,10.941,0,0.078,0.171,0.15,NA,NA,NA
1027,Mid Channel Bar,fuzzy,chinook,spawner,6.62,0,0,0.169,0.158,0.032,NA,NA,NA
1027,Pocket Pool,fuzzy,chinook,spawner,4.609999999999999,4.529999999999999,0,0.742,0.721,0.126,NA,NA,NA
1027,Pool,fuzzy,chinook,spawner,182.64000000000001,155.35999999999999,6,0.726,0.658,0.195,NA,NA,NA
1027,Riffle,fuzzy,chinook,spawner,245.27,215.69,5,0.617,0.604,0.175,NA,NA,NA
1027,Transition,fuzzy,chinook,spawner,188.481,93.691,1,0.402,0.409,0.21,NA,NA,NA
1027,Bank,fuzzy,steelhead,spawner,121.60000000000001,29.008,1,0.161,0.272,0.225,NA,NA,NA
1027,Glide-Run,fuzzy,steelhead,spawner,564.55,372.52,13,0.502,0.511,0.209,NA,NA,NA
1027,Margin Attached Bar,fuzzy,steelhead,spawner,95.39,10.941,0,0.078,0.164,0.151,NA,NA,NA
1027,Mid Channel Bar,fuzzy,steelhead,spawner,6.62,0,0,0.078,0.079,0.012,NA,NA,NA
1027,Pocket Pool,fuzzy,steelhead,spawner,4.609999999999999,4.529999999999999,0,0.742,0.721,0.126,NA,NA,NA
1027,Pool,fuzzy,steelhead,spawner,182.64000000000001,151.24,9,0.726,0.651,0.206,NA,NA,NA
1027,Riffle,fuzzy,steelhead,spawner,245.27,217.63,6,0.617,0.601,0.187,NA,NA,NA
1027,Transition,fuzzy,steelhead,spawner,188.481,95.181,0,0.41,0.389,0.233,NA,NA,NA
1027,Bank,fuzzy,chinook,juvenile,121.60000000000001,34.958,49,0.223,0.306,0.248,NA,NA,NA
1027,Glide-Run,fuzzy,chinook,juvenile,564.55,151.41,156,0.254,0.281,0.19,NA,NA,NA
1027,Margin Attached Bar,fuzzy,chinook,juvenile,95.39,10.971,1,0.078,0.165,0.158,NA,NA,NA
1027,Mid Channel Bar,fuzzy,chinook,juvenile,6.62,0,0,0.078,0.081,0.024,NA,NA,NA
1027,Pocket Pool,fuzzy,chinook,juvenile,4.609999999999999,0.45999999999999996,0,0.085,0.175,0.15,NA,NA,NA
1027,Pool,fuzzy,chinook,juvenile,182.64000000000001,30.9,28,0.207,0.243,0.169,NA,NA,NA
1027,Riffle,fuzzy,chinook,juvenile,245.27,60.660000000000004,15,0.289,0.284,0.154,NA,NA,NA
1027,Transition,fuzzy,chinook,juvenile,188.481,59.48,61,0.277,0.302,0.202,NA,NA,NA
1029,Bank,nrei,steelhead,juvenile,87.56099999999999,10.402000000000001,4,-16.032,-3.364,36.242,NA,NA,NA
1029,Chute,nrei,steelhead,juvenile,35.519999999999996,7.73,11,-74.963,-97.438,109.666,NA,NA,NA
1029,Glide-Run,nrei,steelhead,juvenile,368.796,163.469,93,16.432,-8.63,92.634,NA,NA,NA
1029,Margin Attached Bar,nrei,steelhead,juvenile,64.06099999999999,2.21,0,-28.683,-45.225,78.758,NA,NA,NA
1029,Mid Channel Bar,nrei,steelhead,juvenile,21.37,0.13,0,-35.867,-68.037,71.235,NA,NA,NA
1029,Pocket Pool,nrei,steelhead,juvenile,11.94,2.48,2,-34.663,-48.172,79.472,NA,NA,NA
1029,Pond,nrei,steelhead,juvenile,8.58,0,0,-36.823,-36.382,0.876,NA,NA,NA
1029,Pool,nrei,steelhead,juvenile,172.77,133.03,78,63.718,43.874,52.243,NA,NA,NA
