visit.id,gut.layer,unit.type,n,area.mean,area.med,area.sd,area.sum,perim.mean,perim.med,perim.sd,perim.sum,area.ratio,perim.area.ratio
1027,UnitForm,Bowl,14,13.689,8.67,13.609,191.65,22.8,18.7,15.409,319.2,0.113,1.666
1027,UnitForm,Bowl Transition,10,12.508,4.94,19.675,125.08,40.58,19.2,50.051,405.8,0.074,3.244
1027,UnitForm,Mound,21,12.611,5.32,16.975,264.84,37.581,25.8,30.687,789.2,0.157,2.98
1027,UnitForm,Mound Transition,25,5.009,1.46,7.189,125.22,30.296,13.2,32.874,757.4,0.074,6.048
1027,UnitForm,Plane,14,17.141,7.6,21.753,239.97,62.457,45.7,50.91,874.4,0.142,3.644
1027,UnitForm,Saddle,3,81.817,53.82,89.434,245.45,75.467,68.2,60.429,226.4,0.145,0.922
1027,UnitForm,Trough,12,23.905,5.03,36.118,286.86,79.433,22.4,115.527,953.2,0.17,3.323
1027,UnitForm,Wall,11,19.085,13.57,15.817,209.94,86.127,52.8,66.018,947.4,0.124,4.513
1029,UnitForm,Bowl,20,9.732,8.25,9.428,194.65,17.73,15.2,11.765,354.6,0.114,1.822
1029,UnitForm,Bowl Transition,17,4.872,1.66,6.281,82.82,19.318,14.2,19.323,328.4,0.049,3.965
1029,UnitForm,Mound,33,13.014,3.86,19.832,429.45,28.83,14.4,33.73,951.4,0.252,2.215
1029,UnitForm,Mound Transition,61,2.285,0.72,4.409,139.39,16.679,8,26.376,1017.4,0.082,7.299
1029,UnitForm,Plane,25,11.487,4.69,19.766,287.17,49.608,32.8,51.717,1240.2,0.169,4.319
1029,UnitForm,Saddle,9,15.334,13.17,10.749,138.01,30.422,27.6,16.902,273.8,0.081,1.984
1029,UnitForm,Trough,20,14.357,6.555,21.284,287.13,61.13,30.1,79.162,1222.6,0.169,4.258
1029,UnitForm,Wall,14,10.309,9.505,6.508,144.32,56.2,54.2,34.216,786.8,0.085,5.452
1096,UnitForm,Bowl,11,161.899,46.83,229.637,1780.889,74.745,42.2,72.271,822.2,0.096,0.462
1096,UnitForm,Bowl Transition,10,109.141,30.6,153.727,1091.411,110.12,63,116.02,1101.2,0.059,1.009
1096,UnitForm,Mound,5,1000.014,280.75,1304.402,5000.072,464.24,342.2,512.027,2321.2,0.27,0.464
1096,UnitForm,Mound Transition,34,54.617,0.215,265.917,1856.97,89.329,4.5,343.006,3037.2,0.1,1.636
1096,UnitForm,Plane,2,1800.54,1800.54,2040.003,3601.08,1629.6,1629.6,1067.449,3259.2,0.195,0.905
1096,UnitForm,Saddle,3,115.284,74.59,82.343,345.851,93.533,59.2,64.023,280.6,0.019,0.811
1096,UnitForm,Trough,5,714.33,484.779,809.392,3571.65,539.72,272.6,565.401,2698.6,0.193,0.756
1096,UnitForm,Wall,6,206.972,178.545,215.865,1241.83,265.3,270.8,208.983,1591.8,0.067,1.282
1164,UnitForm,Bowl,13,3.564,2.92,2.708,46.33,11.108,10.4,5.299,144.4,0.049,3.117
1164,UnitForm,Bowl Transition,14,7.701,4.485,7.852,107.81,26.014,16.7,22.653,364.2,0.115,3.378
1164,UnitForm,Mound,14,14.996,10.215,13.115,209.95,33.871,25.7,23.341,474.2,0.224,2.259
1164,UnitForm,Mound Transition,25,3.635,0.85,6.662,90.88,22.576,7.6,32.204,564.4,0.097,6.211
1164,UnitForm,Plane,11,17.039,3.68,27.84,187.43,66.891,26.2,89.196,735.8,0.2,3.926
1164,UnitForm,Saddle,1,6.49,6.49,NaN,6.49,15.8,15.8,NaN,15.8,0.007,2.435
1164,UnitForm,Trough,5,36.75,40.92,31.869,183.75,131.44,161.2,105.029,657.2,0.196,3.577
1164,UnitForm,Wall,12,8.623,3.66,8.351,103.48,37.9,22.8,31.127,454.8,0.111,4.395
1175,UnitForm,Bowl,21,3.447,1.71,4.162,72.38,10.619,8.2,8.725,223,0.068,3.081
1175,UnitForm,Bowl Transition,26,4.385,1.95,6.168,114.01,16.608,9.5,17.331,431.8,0.106,3.787
1175,UnitForm,Mound,41,6.498,0.79,10.887,266.43,15.405,7.8,20.287,631.6,0.249,2.371
1175,UnitForm,Mound Transition,39,2.464,0.77,4.418,96.08,20.538,11.2,25.556,801,0.09,8.335
1175,UnitForm,Plane,11,18.536,5.12,29.769,203.9,89.891,32,118.642,988.8,0.19,4.85
1175,UnitForm,Saddle,3,8.603,9.59,5.704,25.81,17.4,21.4,7.454,52.2,0.024,2.023
1175,UnitForm,Trough,10,20.941,15.39,17.345,209.41,94.14,69.7,85.904,941.4,0.196,4.495
1175,UnitForm,Wall,14,5.923,3.425,5.048,82.92,37.557,23.7,30.89,525.8,0.077,6.341
1448,UnitForm,Bowl,13,47.25,31.3,74.094,614.25,47.323,33.4,58.294,615.2,0.145,1.002
1448,UnitForm,Bowl Transition,10,4.734,3.07,4.6,47.34,19.78,13.6,22.218,197.8,0.011,4.178
1448,UnitForm,Mound,44,28.402,10.34,38.68,1249.68,36.373,22.6,38.76,1600.4,0.295,1.281
1448,UnitForm,Mound Transition,50,7.933,2.005,14.199,396.66,29.184,12.4,41.15,1459.2,0.094,3.679
1448,UnitForm,Plane,19,40.704,9.4,84.466,773.37,109.063,56.8,164.825,2072.2,0.183,2.679
1448,UnitForm,Saddle,5,33.332,36.75,20.274,166.66,34.92,37.8,12.936,174.6,0.039,1.048
1448,UnitForm,Trough,9,80.551,40.68,100.689,724.96,189.956,77.6,244.648,1709.6,0.171,2.358
1448,UnitForm,Wall,29,8.942,7.93,6.484,259.32,36.497,35.8,19.345,1058.4,0.061,4.082
1486,UnitForm,Bowl,15,25.763,8.76,47.79,386.45,28.48,18,32.491,427.2,0.116,1.105
1486,UnitForm,Bowl Transition,10,27.439,4.585,35.225,274.39,54.16,25.5,59.166,541.6,0.082,1.974
1486,UnitForm,Mound,15,30.166,6.01,48.795,452.49,54.333,23.6,61.227,815,0.136,1.801
1486,UnitForm,Mound Transition,26,10.087,4.435,12.919,262.26,41.692,25.3,48.891,1084,0.079,4.133
1486,UnitForm,Plane,7,94.614,12.8,191.221,662.3,210.914,56.8,364.476,1476.4,0.199,2.229
1486,UnitForm,Saddle,2,53.92,53.92,19.332,107.84,51.7,51.7,12.021,103.4,0.032,0.959
1486,UnitForm,Trough,11,64.98,39.72,100.333,714.78,127.382,40.8,156.755,1401.2,0.214,1.96
1486,UnitForm,Wall,6,79.073,66.855,69.032,474.44,211,199.1,164.023,1266,0.142,2.668
1494,UnitForm,Bowl,10,55.705,34.815,67.393,557.05,49,37.5,45.472,490,0.132,0.88
1494,UnitForm,Bowl Transition,13,20.878,16.22,24.048,271.41,40.831,40.2,31.478,530.8,0.064,1.956
1494,UnitForm,Mound,17,35.164,9.29,49.435,597.78,66.824,41.2,66.817,1136,0.141,1.9
1494,UnitForm,Mound Transition,23,15.863,4.66,19.444,364.86,61.678,38.6,65.048,1418.6,0.086,3.888
1494,UnitForm,Plane,3,290.983,64.12,447.096,872.95,547.6,123,829.82,1642.8,0.207,1.882
1494,UnitForm,Trough,6,158.167,26.46,276.363,949,237.267,116.9,337.58,1423.6,0.225,1.5
1494,UnitForm,Wall,3,203.853,198.04,167.286,611.56,498.933,641.4,345.669,1496.8,0.145,2.448
1521,UnitForm,Bowl,15,143.211,33.7,225.789,2148.17,63.293,42.8,68.728,949.4,0.101,0.442
1521,UnitForm,Bowl Transition,11,189.919,36.81,418.161,2089.112,131.636,51.4,210.369,1448,0.098,0.693
1521,UnitForm,Mound,20,174.049,10.115,408.841,3480.985,126.67,24.6,213.932,2533.4,0.163,0.728
