visit.id,gut.layer,unit.type,n,area.mean,area.med,area.sd,area.sum,perim.mean,perim.med,perim.sd,perim.sum,area.ratio,perim.area.ratio
1027,GU,Bank,11,20.123,13.57,17.549,221.35,86.073,52.8,65.931,946.8,0.131,4.277
1027,GU,Glide-Run,6,97.08,37.925,136.93,582.48,141.167,91.2,167.083,847,0.345,1.454
1027,GU,Margin Attached Bar,13,18.138,10.78,19.508,235.79,50.169,48.2,32.145,652.2,0.14,2.766
1027,GU,Mid Channel Bar,1,14.51,14.51,NaN,14.51,21.4,21.4,NaN,21.4,0.009,1.475
1027,GU,Pocket Pool,3,1.893,1.94,0.681,5.68,7.4,6.4,2.835,22.2,0.003,3.909
1027,GU,Pool,11,16.906,11.9,13.695,185.97,27,22.4,14.715,297,0.11,1.597
1027,GU,Riffle,3,81.817,53.82,89.434,245.45,75.467,68.2,60.429,226.4,0.145,0.922
1027,GU,Transition,23,8.599,3.21,9.513,197.78,39.67,18.2,38.154,912.4,0.117,4.613
1029,GU,Bank,12,11.875,9.505,7.629,142.5,64.567,60.3,38.897,774.798,0.084,5.437
1029,GU,Chute,3,15.373,14.8,5.114,46.12,49.733,54,17.984,149.2,0.027,3.235
1029,GU,Glide-Run,8,48.598,28.13,47.122,388.781,110.899,89.3,74.48,887.189,0.228,2.282
1029,GU,Margin Attached Bar,17,16.723,4.77,22.488,284.29,34.918,23.6,29.603,593.599,0.167,2.088
1029,GU,Mid Channel Bar,5,29.888,8.86,31.662,149.44,72.04,15,86.454,360.2,0.088,2.41
1029,GU,Pocket Pool,8,1.499,1.515,0.787,11.99,7.325,6.9,2.273,58.6,0.007,4.887
1029,GU,Pond,1,8.58,8.58,NaN,8.58,15.8,15.8,NaN,15.8,0.005,1.841
1029,GU,Pool,11,15.825,14.82,8.559,174.08,25.473,22.8,10.317,280.2,0.102,1.61
1029,GU,Riffle,9,15.334,13.17,10.749,138.01,30.422,27.6,16.903,273.8,0.081,1.984
1029,GU,Transition,42,8.551,2.45,13.753,359.149,34.97,12.1,53.226,1468.749,0.211,4.09
1096,GU,Bank,6,206.972,178.545,215.865,1241.83,265.3,270.8,208.983,1591.8,0.067,1.282
1096,GU,Chute,1,17.71,17.71,NaN,17.71,76.4,76.4,NaN,76.4,0.001,4.314
1096,GU,Glide-Run,2,3787.738,3787.738,3794.87,7575.475,1222.168,1222.168,639.179,2444.335,0.41,0.323
1096,GU,Margin Attached Bar,5,1000.014,280.75,1304.402,5000.072,464.24,342.2,512.027,2321.2,0.27,0.464
1096,GU,Pool,11,161.899,46.83,229.637,1780.889,74.745,42.2,72.271,822.2,0.096,0.462
1096,GU,Riffle,3,115.284,74.59,82.343,345.851,93.533,59.2,64.023,280.6,0.019,0.811
1096,GU,Transition,12,210.66,0.21,635.253,2527.923,248.009,4.4,657.37,2976.11,0.137,1.177
1164,GU,Bank,10,9.973,7.21,8.542,99.73,43.52,38.9,31.183,435.199,0.107,4.364
1164,GU,Barface,1,1.12,1.12,NaN,1.12,7.4,7.4,NaN,7.4,0.001,6.607
1164,GU,Glide-Run,3,97,81.6,31.983,291,139.579,138.8,28.24,418.737,0.311,1.439
1164,GU,Margin Attached Bar,11,18.689,12.1,15.445,205.58,42.309,27,27.869,465.4,0.22,2.264
1164,GU,Mid Channel Bar,1,16.4,16.4,NaN,16.4,24.8,24.8,NaN,24.8,0.018,1.512
1164,GU,Pocket Pool,9,1.914,1.82,0.875,17.23,8,6.6,2.512,72,0.018,4.18
1164,GU,Pool,4,7.275,7.58,0.876,29.1,18.1,18.2,1.149,72.4,0.031,2.488
1164,GU,Rapid,2,29.677,29.677,23.344,59.354,43.121,43.121,31.567,86.242,0.063,1.453
1164,GU,Riffle,1,6.49,6.49,NaN,6.49,15.8,15.8,NaN,15.8,0.007,2.435
1164,GU,Transition,14,15.008,4.545,25.592,210.115,50.66,23.1,66.245,709.236,0.224,3.376
1175,GU,Bank,12,7.091,6.885,5.427,85.09,43.767,40.9,31.069,525.2,0.079,6.172
1175,GU,Chute,1,1.99,1.99,NaN,1.99,12.8,12.8,NaN,12.8,0.002,6.432
1175,GU,Glide-Run,5,59.119,21.23,80.864,295.596,122.376,39.199,164.146,611.879,0.276,2.07
1175,GU,Margin Attached Bar,13,13.942,7.96,12.629,181.24,33.708,26.6,20.972,438.201,0.169,2.418
1175,GU,Mid Channel Bar,4,21.008,16.185,16.669,84.03,37.3,26.3,29.715,149.2,0.078,1.776
1175,GU,Pocket Pool,17,1.648,1.58,0.776,28.01,6.965,7.4,2.171,118.4,0.026,4.226
1175,GU,Pool,4,11.092,9.145,3.999,44.37,26.15,23.6,9.225,104.601,0.041,2.358
1175,GU,Rapid,2,29.065,29.065,27.556,58.13,62.999,62.999,56.85,125.998,0.054,2.168
1175,GU,Riffle,3,8.603,9.59,5.704,25.81,17.4,21.4,7.454,52.201,0.024,2.023
1175,GU,Transition,55,4.849,0.02,14.968,266.675,18.34,0.6,48.585,1008.69,0.249,3.782
1448,GU,Bank,25,9.514,7.93,6.725,237.85,37.864,35.8,19.559,946.601,0.056,3.98
1448,GU,Barface,2,2.54,2.54,0.651,5.08,12.5,12.5,1.838,25,0.001,4.921
1448,GU,Glide-Run,4,267.646,177.14,266.353,1070.584,261.423,161.465,221.194,1045.692,0.253,0.977
1448,GU,Margin Attached Bar,40,32.346,13.165,42.408,1293.845,39.98,27.3,42.445,1599.182,0.306,1.236
1448,GU,Mid Channel Bar,2,35.55,35.55,33.446,71.1,33.2,33.2,22.062,66.4,0.017,0.934
1448,GU,Pocket Pool,3,4.67,4.81,2.193,14.01,10.733,11,3.607,32.2,0.003,2.298
1448,GU,Pool,10,60.024,36.535,80.828,600.24,58.3,42.1,62.832,583,0.142,0.971
1448,GU,Riffle,5,33.332,36.75,20.274,166.66,34.92,37.8,12.936,174.6,0.039,1.048
1448,GU,Transition,53,14.582,0.63,34.058,772.871,38.692,6.6,79.625,2050.665,0.183,2.653
1486,GU,Bank,5,98.242,40.59,117.515,491.21,252.52,127.8,274.266,1262.6,0.147,2.57
1486,GU,Glide-Run,3,529.074,373.593,610.636,1587.223,406.25,361.751,406.332,1218.751,0.476,0.768
1486,GU,Margin Attached Bar,7,53.657,25.62,63.349,375.6,79.114,47.6,80.171,553.8,0.113,1.474
1486,GU,Mid Channel Bar,1,50.49,50.49,NaN,50.49,95.6,95.6,NaN,95.6,0.015,1.893
1486,GU,Pocket Pool,5,2.404,2.07,0.862,12.02,7.84,8.4,1.187,39.2,0.004,3.261
