VisitID,SiteName,WatershedName,VisitYear,PanelName,BottomOfSiteUTMZone,BottomOfSiteUTMEasting,BottomOfSiteUTMNorthing,VisitPhase,VisitStatus
1027,CBW05583-080335,Lemhi,2012,Rotating Panel 2,12,309682,4940131,Data Approved,Released to Public
1029,CBW05583-028079,Lemhi,2012,Annual,12,282440,4962349,Data Approved,Released to Public
1096,CBW05583-385561,Methow,2012,Rotating Panel 2,10,690538,5385609,Data Approved,Released to Public
1164,CBW05583-189938,John Day,2013,Annual,11,369113,4945528,Data Approved,Released to Public
1175,OJD03458-000536,John Day,2013,Annual,11,378560,4940175,Data Approved,Released to Public
1448,CBW05583-452047,Lemhi,2013,Rotating Panel 3,12,311229,4952540,Data Approved,Released to Public
1486,CBW05583-339839,Tucannon,2013,Annual,11,443170,5140042,Data Approved,Released to Public
1494,CBW05583-420019,Tucannon,2013,Rotating Panel 3,11,417942,5150613,Data Approved,Released to Public
1521,CBW05583-036697,Methow,2013,Rotating Panel 3,10,710707,5395017,Data Approved,Released to Public
1545,CBW05583-093023,Lemhi,2013,Rotating Panel 3,12,287735,5003769,Data Approved,Released to Public
1549,YFI00001-000828,Yankee Fork,2013,Rotating Panel 1,11,685915,4926214,Data Approved,Released to Public
157,OJD03458-000017,John Day,2011,Annual,11,358013,4940751,Data Approved,Released to Public
1587,CBW05583-315823,Lemhi,2013,Rotating Panel 3,12,288254,4966813,Data Approved,Released to Public
1596,CBW05583-020761,Methow,2013,Rotating Panel 3,10,712169,5361026,Data Approved,Released to Public
1602,ORW03446-084462,Upper Grande Ronde,2013,Rotating Panel 3,11,432440,5065705,Data Approved,Released to Public
1621,CBW05583-128427,Entiat,2013,Rotating Panel 3,10,688751,5316707,Data Approved,Released to Public
1735,CBW05583-492715,Wenatchee,2013,Annual,10,670770,5310630,Data Approved,Released to Public
1783,ENT00001-1BC7,Entiat,2013,Annual,10,705691,5282743,Data Approved,Released to Public
1793,ENT00001-1F18,Entiat,2013,Annual,10,698169,5289815,Data Approved,Released to Public
