GEOC_ID,RECNO,WIDE_WW,WIDE_BF,AREA_WW,AREA_BF,GEO_COND,RT_FISHUSE,RS,LENGTH
1,1,1.9,4.25,1735.9,3883,moderate,Conf_Floodplain,CF,912.710687338
2,2,1.9,4.25,1810.6,4050,moderate,Conf_Floodplain,CF,951.86993998
3,3,1.9,4.24,1815.1,4050.5,poor,Conf_Floodplain,CF,954.253351978
9,9,4.78,8.45,4166.7,7365.8,good,Margin_Controlled,MC,871.65290485
10,10,4.9,8.7,4844.3,8601.2,moderate,Margin_Controlled,MC,988.216664533
11,11,4.94,8.74,4900.9,8670.9,moderate,Margin_Controlled,MC,991.708262477
12,12,5.1,8.9,5167.1,9017,moderate,Margin_Controlled,MC,1012.9986003
13,13,4.3,7.8,2654.8,4815.7,good,Margin_Controlled,MC,617.242912563
14,14,4.4,7.86,4427.2,7908.5,good,Margin_Controlled,MC,1005.95072323
15,15,4.4,7.9,4349.1,7808.6,good,Margin_Controlled,MC,988.011610298
16,16,4.4,7.9,4395.8,7892.5,good,Margin_Controlled,MC,998.75047565
17,17,4,7.3,1547.4,2823.9,good,Margin_Controlled,MC,386.644546211
18,18,4,7.18,3826.8,6869.2,good,Margin_Controlled,MC,955.911933296
19,19,4.15,7.35,3976.4,7042.6,good,Margin_Controlled,MC,957.397194548
20,20,4.18,7.4,4038,7148.6,good,Margin_Controlled,MC,965.344309744
21,21,4.14,7.56,3949,7211.2,good,Margin_Controlled,MC,953.042035418
22,22,3.76,6.94,3808,7028.6,good,Margin_Controlled,MC,1012.42156508
23,23,2.98,5.76,3403.5,6578.5,good,Margin_Controlled,MC,1141.51427562
24,24,3.16,6.06,3020.9,5793.2,good,Margin_Controlled,MC,955.166220024
27,27,3.68,6.76,3801.1,6982.5,moderate,Conf_Floodplain,CF,1032.96816784
28,28,3.78,6.98,3866.2,7139.1,moderate,Conf_Floodplain,CF,1022.72439149
29,29,3.7,6.98,3825.1,7215.9,moderate,Conf_Floodplain,CF,1033.85690201
30,30,3.7,6.82,3800,7004.4,moderate,Conf_Floodplain,CF,1027.01957992
31,31,2.63,4.79,2711.5,4938.4,moderate,Conf_Floodplain,CF,1031.00369223
37,37,2.02,4.33,1647.9,3532.4,good,Conf_Floodplain,CF,815.479882155
38,38,2.17,4.62,2241,4771.1,good,Conf_Floodplain,CF,1032.85217265
39,39,2.34,4.84,2451.9,5071.5,good,Conf_Floodplain,CF,1048.20067242
40,40,2.3,4.92,2423.8,5184.9,good,Conf_Floodplain,CF,1054.30911105
41,41,2.34,4.98,2411.7,5132.5,good,Conf_Floodplain,CF,1030.75073836
42,42,2.44,4.98,2552.2,5208.9,good,Conf_Floodplain,CF,1046.32140218
43,43,2.56,5.26,2632.4,5408.8,moderate,Conf_Floodplain,CF,1028.38222322
44,44,2.66,5.3,2787.6,5554.3,moderate,AlluvialFan,AF,1048.35983726
45,45,2.74,5.38,2837.7,5571.8,moderate,Conf_Floodplain,CF,1035.85612916
49,49,4.06,7.3,4219,7585.9,intact,Conf_Floodplain,CF,1039.22479966
50,50,4.1,7.4,4151.7,7493.4,intact,Conf_Floodplain,CF,1012.41225652
51,51,4.2,7.42,4274,7550.7,intact,Conf_Floodplain,CF,1017.45408694
52,52,4.28,7.4,4434.2,7666.6,good,Conf_Floodplain,CF,1036.04148563
53,53,4.2,7.58,4302.3,7764.6,good,Conf_Floodplain,CF,1024.26472793
54,54,4.2,7.6,4386.8,7938.1,good,Conf_Floodplain,CF,1044.58785221
55,55,4.28,7.7,4420,7951.8,good,Conf_Floodplain,CF,1032.68994061
56,56,4.3,7.72,4448.1,7985.9,good,Conf_Floodplain,CF,1034.44902148
57,57,2.58,5.32,2579.7,5319.4,good,Conf_Floodplain,CF,999.606206425
58,58,2.6,5.2,2461.8,4923.7,good,Conf_Floodplain,CF,945.97589558
59,59,2.56,5.1,2531.7,5043.6,good,Conf_Floodplain,CF,988.528484565
88,88,4.02,7.06,4152.5,7292.6,good,Conf_Floodplain,CF,1033.10644516
89,89,4.15,7.2,4217.6,7317.3,good,Conf_Floodplain,CF,1016.19391161
90,90,4.07,7.37,4086.9,7400.6,good,Conf_Floodplain,CF,1003.8650729
91,91,4.17,7.53,4283.3,7734.5,good,Conf_Floodplain,CF,1027.22810052
92,92,4.2,7.58,4307.2,7773.4,good,Conf_Floodplain,CF,1025.56398162
93,93,4.22,7.52,4297.4,7658,good,Conf_Floodplain,CF,1018.28504035
94,94,4.3,7.6,4361.3,7708.3,good,Conf_Floodplain,CF,1014.128044
95,95,4.78,8.3,4772.4,8286.8,good,Conf_Floodplain,CF,998.366115108
96,96,4.7,8.3,4889.6,8634.9,good,Conf_Floodplain,CF,1040.60543705
97,97,4.7,8.3,4929.8,8705.7,good,Conf_Floodplain,CF,1049.26675631
98,98,4.72,8.3,4865.2,8555.3,good,Conf_Floodplain,CF,1030.87264464
99,99,4.72,8.3,4718.7,8297.8,moderate,Conf_Floodplain,CF,999.374487874
108,108,3.58,6.65,3528.1,6553.6,good,Conf_Floodplain,CF,985.004016796
109,109,3.6,6.74,3559.2,6663.6,good,Conf_Floodplain,CF,988.207290677
110,110,3.6,6.8,3493.8,6599.3,good,Conf_Floodplain,CF,969.841817003
116,116,3.13,6.03,2696.3,5194.4,poor,Conf_Floodplain,CF,861.296970992
117,117,3.2,6.02,3272.1,6155.7,poor,Conf_Floodplain,CF,1022.5267554
118,118,3.2,6.06,3328.1,6302.6,poor,Conf_Floodplain,CF,1040.27956038
119,119,3.2,6.1,3280.2,6252.9,poor,Conf_Floodplain,CF,1025.07883273
165,165,2.7,5.04,2740.7,5116.1,good,Conf_Floodplain,CF,1014.94283373
185,185,7.2,12.1,6329.1,10636.3,moderate,Wandering_Gravel,WA,879.018126072
186,186,7.2,12.1,7352.6,12356.5,moderate,Wandering_Gravel,WA,1021.12320751
187,187,7.26,12.1,7555.7,12592.8,moderate,Wandering_Gravel,WA,1040.90668295
188,188,7.3,12.1,7594.4,12587.9,moderate,Wandering_Gravel,WA,1040.49626868
189,189,7.3,12.12,7456.3,12379.5,moderate,Wandering_Gravel,WA,1021.34730092
190,190,15.58,24.4,15718,24616.1,moderate,Wandering_Gravel,WA,1008.62742763
191,191,6.8,11.5,2202.8,3725.3,moderate,Wandering_Gravel,WA,323.965769755
199,199,3.42,6.1,3341.3,5959.5,good,Conf_Floodplain,CF,976.296375384
200,200,3.6,6.3,3547.3,6207.8,good,Conf_Floodplain,CF,984.815739493
201,201,3.7,6.52,3622.3,6383.2,good,Conf_Floodplain,CF,978.366639964
202,202,3.83,6.7,3768.6,6592.5,good,Conf_Floodplain,CF,983.38560066
203,203,3.86,6.7,4000,6943,good,Conf_Floodplain,CF,1036.47647193
204,204,3.9,6.78,3988.9,6934.5,good,Conf_Floodplain,CF,1022.79691401
205,205,3.9,7.15,4064.7,7451.9,good,Conf_Floodplain,CF,1042.53022673
206,206,4.1,7.42,4104,7427.3,good,Conf_Floodplain,CF,1000.66696562
207,207,4.16,7.56,4292.1,7800.2,good,Conf_Floodplain,CF,1031.90831094
208,208,4.28,7.64,4297.4,7671.1,good,Conf_Floodplain,CF,1003.79748504
209,209,4.4,7.9,3968.3,7124.9,good,Conf_Floodplain,CF,901.991012138
210,210,4.5,8,4329.8,7697.5,good,Conf_Floodplain,CF,961.267923698
211,211,4.5,8,4387.7,7800.4,good,Conf_Floodplain,CF,974.321771007
212,212,4.58,8.07,4635.3,8167.4,good,Conf_Floodplain,CF,1011.92254036
213,213,4.6,8.16,4622,8198.9,good,Conf_Floodplain,CF,1004.50791505
214,214,4.65,8.3,4683.1,8359.1,good,Conf_Floodplain,CF,1006.89215662
215,215,4.76,8.48,4822.9,8592,good,Conf_Floodplain,CF,1013.06914841
216,216,4.8,8.62,4773.5,8572.4,good,Conf_Floodplain,CF,994.062936018
217,217,4.86,8.52,4675,8195.7,good,Conf_Floodplain,CF,961.012839294
218,218,4.8,8.4,4642.6,8124.5,good,Conf_Floodplain,CF,966.359262091
219,219,4.8,8.4,4766.2,8340.8,good,Conf_Floodplain,CF,992.505519502
220,220,4.8,8.4,4841.9,8473.4,good,AlluvialFan,AF,1008.52787451
223,223,2.5,5.1,2374,4843,poor,Conf_Bedrock,CB,948.502075239
252,252,3.2,6.17,3329,6418.8,moderate,Conf_Floodplain,CF,1040.51060753
253,253,3.1,6.2,3238.4,6476.8,moderate,Conf_Floodplain,CF,1044.89316659
254,254,3.1,6.04,3215.9,6265.8,poor,AlluvialFan,AF,1037.53153592
255,255,2.32,4.74,2253.4,4603.9,poor,Wandering_Gravel,WA,970.707757957
256,256,2.35,4.85,2330.8,4810.3,poor,Wandering_Gravel,WA,991.448419468
257,257,2.4,4.86,2456.5,4974.3,poor,Wandering_Gravel,WA,1023.51188714
258,258,3.8,7.1,2528.5,4724.2,poor,Wandering_Gravel,WA,664.888051724
259,259,3.8,7.1,3668.8,6854.9,poor,Wandering_Gravel,WA,964.599807435
260,260,2.8,5.5,792.2,1556.1,moderate,Conf_Floodplain,CF,282.999877004
261,261,2.9,5.64,3046.7,5925.2,moderate,Conf_Floodplain,CF,1050.98886302
262,262,3.3,6.4,1850.8,3589.4,moderate,Conf_Floodplain,CF,560.791388431
263,263,3.34,6.44,3501,6750.4,poor,Conf_Floodplain,CF,1048.58102219
264,264,3.38,6.62,3535.1,6923.7,poor,Conf_Floodplain,CF,1046.22008406
265,265,3.5,6.62,3655.7,6914.4,poor,Conf_Floodplain,CF,1044.79737597
266,266,3.56,6.66,3643.1,6815.5,poor,Wandering_Gravel,WA,1023.35507781
323,323,2.46,5.04,2530.5,5184.4,good,Conf_Floodplain,CF,1028.68126626
324,324,2.46,5.16,2455.9,5151.4,good,Conf_Floodplain,CF,998.021052681
325,325,2.52,5.22,2438.1,5050.4,good,Margin_Controlled,MC,966.844491997
326,326,2.6,5.25,2503.1,5054.4,good,Margin_Controlled,MC,962.023768277
327,327,2.58,5.24,2506.9,5091.6,good,Margin_Controlled,MC,971.067623677
328,328,2.6,5.2,2475.5,4950.9,good,Margin_Controlled,MC,951.261579506
329,329,2.6,5.2,2501.4,5002.8,good,Planform_Controlled,PC,961.365871433
330,330,2.7,5.34,2684.9,5310,good,Planform_Controlled,PC,993.996535299
331,331,2.86,5.52,2862.8,5525.4,good,Planform_Controlled,PC,1000.64216105
332,332,2.88,5.5,2962.6,5657.7,good,Planform_Controlled,PC,1028.60533808
339,339,5.1,8.1,1598,2538.1,intact,Margin_Controlled,MC,313.16295423
340,340,5.14,8.24,5137.2,8235.5,intact,Margin_Controlled,MC,999.117330335
341,341,5.22,8.34,5106.6,8158.8,intact,Margin_Controlled,MC,977.755136329
342,342,5.3,8.47,5216.3,8336.3,intact,Margin_Controlled,MC,983.741575711
343,343,5.52,8.82,5521.9,8823.1,good,Margin_Controlled,MC,1000.02406666
344,344,6.73,11.2,3717.1,6186,good,Margin_Controlled,MC,551.922433448
345,345,6.7,11.23,6661.8,11166,good,Margin_Controlled,MC,993.907349315
346,346,6.74,11.32,6472.7,10871.1,good,Margin_Controlled,MC,959.647600238
347,347,6.8,11.4,6632.5,11119.3,good,Margin_Controlled,MC,974.808332908
348,348,6.9,11.42,6786,11231.4,good,Margin_Controlled,MC,982.991558265
349,349,6.9,11.38,6763.1,11154.1,good,Margin_Controlled,MC,979.62800377
