RECNO,GEOC_ID,HUC_08,GNIS_NAME,LENGTH,WIDE_WW,WIDE_BF,AREA_WW,AREA_BF,SPAWN,REAR,RT_FISHUSE,RS,GEO_COND,COND_HIST,COND_EX,COND_RP,oPBRC_CR
9,9,17060201,Basin Creek,871.6529049,4.78,8.45,4166.7,7365.8,1,1,Margin_Controlled,MC,good,intact,good,intact,Strategic - Long-Term Investment
10,10,17060201,Basin Creek,988.2166645,4.9,8.7,4844.3,8601.2,1,1,Margin_Controlled,MC,moderate,intact,moderate,good,Strategic - Long-Term Investment
11,11,17060201,Basin Creek,991.7082625,4.94,8.74,4900.9,8670.9,1,1,Margin_Controlled,MC,moderate,intact,moderate,moderate,NA
12,12,17060201,Basin Creek,1012.9986,5.1,8.9,5167.1,9017,1,1,Margin_Controlled,MC,moderate,intact,moderate,moderate,NA
13,13,17060201,Basin Creek,617.2429126,4.3,7.8,2654.8,4815.7,1,1,Margin_Controlled,MC,good,intact,good,good,NA
14,14,17060201,Basin Creek,1005.950723,4.4,7.86,4427.2,7908.5,1,1,Margin_Controlled,MC,good,intact,good,good,NA
15,15,17060201,Basin Creek,988.0116103,4.4,7.9,4349.1,7808.6,1,1,Margin_Controlled,MC,good,intact,good,good,Straight Forward - Quick Return
16,16,17060201,Basin Creek,998.7504757,4.4,7.9,4395.8,7892.5,1,1,Margin_Controlled,MC,good,intact,good,good,NA
17,17,17060201,Basin Creek,386.6445462,4,7.3,1547.4,2823.9,1,1,Margin_Controlled,MC,good,intact,good,intact,Easiest - Low-Hanging Fruit
18,18,17060201,Basin Creek,955.9119333,4,7.18,3826.8,6869.2,1,1,Margin_Controlled,MC,good,intact,good,intact,Easiest - Low-Hanging Fruit
19,19,17060201,Basin Creek,957.3971945,4.15,7.35,3976.4,7042.6,1,1,Margin_Controlled,MC,good,intact,good,intact,Strategic - Long-Term Investment
20,20,17060201,Basin Creek,965.3443097,4.18,7.4,4038,7148.6,1,1,Margin_Controlled,MC,good,intact,good,intact,Easiest - Low-Hanging Fruit
21,21,17060201,Basin Creek,953.0420354,4.14,7.56,3949,7211.2,1,1,Margin_Controlled,MC,good,intact,good,intact,Strategic - Long-Term Investment
22,22,17060201,Basin Creek,1012.421565,3.76,6.94,3808,7028.6,1,1,Margin_Controlled,MC,good,intact,good,good,Straight Forward - Quick Return
23,23,17060201,Basin Creek,1141.514276,2.98,5.76,3403.5,6578.5,1,1,Margin_Controlled,MC,good,intact,good,intact,Strategic - Long-Term Investment
24,24,17060201,Basin Creek,955.16622,3.16,6.06,3020.9,5793.2,1,1,Margin_Controlled,MC,good,intact,good,intact,Strategic - Long-Term Investment
27,27,17060201,Bayhorse Creek,1032.968168,3.68,6.76,3801.1,6982.5,1,1,Conf_Floodplain,CF,moderate,intact,moderate,moderate,NA
28,28,17060201,Bayhorse Creek,1022.724391,3.78,6.98,3866.2,7139.1,1,1,Conf_Floodplain,CF,moderate,intact,moderate,good,Strategic - Long-Term Investment
29,29,17060201,Bayhorse Creek,1033.856902,3.7,6.98,3825.1,7215.9,1,1,Conf_Floodplain,CF,moderate,intact,moderate,moderate,NA
30,30,17060201,Bayhorse Creek,1027.01958,3.7,6.82,3800,7004.4,1,1,Conf_Floodplain,CF,moderate,intact,moderate,good,Straight Forward - Quick Return
31,31,17060201,Bayhorse Creek,1031.003692,2.63,4.79,2711.5,4938.4,1,1,Conf_Floodplain,CF,moderate,intact,moderate,good,Strategic - Long-Term Investment
49,49,17060201,Big Boulder Creek,1039.2248,4.06,7.3,4219,7585.9,1,1,Conf_Floodplain,CF,intact,intact,intact,intact,Strategic - Long-Term Investment
50,50,17060201,Big Boulder Creek,1012.412257,4.1,7.4,4151.7,7493.4,1,1,Conf_Floodplain,CF,intact,intact,intact,intact,Straight Forward - Quick Return
51,51,17060201,Big Boulder Creek,1017.454087,4.2,7.42,4274,7550.7,1,1,Conf_Floodplain,CF,intact,intact,intact,intact,Strategic - Long-Term Investment
52,52,17060201,Big Boulder Creek,1036.041486,4.28,7.4,4434.2,7666.6,1,1,Conf_Floodplain,CF,good,intact,good,intact,Strategic - Long-Term Investment
53,53,17060201,Big Boulder Creek,1024.264728,4.2,7.58,4302.3,7764.6,1,1,Conf_Floodplain,CF,good,intact,good,good,NA
54,54,17060201,Big Boulder Creek,1044.587852,4.2,7.6,4386.8,7938.1,1,1,Conf_Floodplain,CF,good,intact,good,good,NA
55,55,17060201,Big Boulder Creek,1032.689941,4.28,7.7,4420,7951.8,1,1,Conf_Floodplain,CF,good,intact,good,good,NA
56,56,17060201,Big Boulder Creek,1034.449021,4.3,7.72,4448.1,7985.9,1,1,Conf_Floodplain,CF,good,intact,good,good,NA
57,57,17060201,Big Casino Creek,999.6062064,2.58,5.32,2579.7,5319.4,1,1,Conf_Floodplain,CF,good,intact,good,good,Straight Forward - Quick Return
58,58,17060201,Big Casino Creek,945.9758956,2.6,5.2,2461.8,4923.7,1,1,Conf_Floodplain,CF,good,intact,good,good,Straight Forward - Quick Return
59,59,17060201,Big Casino Creek,988.5284846,2.56,5.1,2531.7,5043.6,1,1,Conf_Floodplain,CF,good,intact,good,good,NA
88,88,17060203,Big Deer Creek,1033.106445,4.02,7.06,4152.5,7292.6,0,1,Conf_Floodplain,CF,good,intact,good,good,Straight Forward - Quick Return
89,89,17060203,Big Deer Creek,1016.193912,4.15,7.2,4217.6,7317.3,0,1,Conf_Floodplain,CF,good,intact,good,good,Straight Forward - Quick Return
90,90,17060203,Big Deer Creek,1003.865073,4.07,7.37,4086.9,7400.6,0,1,Conf_Floodplain,CF,good,intact,good,good,Straight Forward - Quick Return
91,91,17060203,Big Deer Creek,1027.228101,4.17,7.53,4283.3,7734.5,0,1,Conf_Floodplain,CF,good,intact,good,intact,Easiest - Low-Hanging Fruit
92,92,17060203,Big Deer Creek,1025.563982,4.2,7.58,4307.2,7773.4,0,1,Conf_Floodplain,CF,good,intact,good,intact,Easiest - Low-Hanging Fruit
93,93,17060203,Big Deer Creek,1018.28504,4.22,7.52,4297.4,7658,0,1,Conf_Floodplain,CF,good,intact,good,intact,Easiest - Low-Hanging Fruit
94,94,17060203,Big Deer Creek,1014.128044,4.3,7.6,4361.3,7708.3,0,1,Conf_Floodplain,CF,good,intact,good,intact,Easiest - Low-Hanging Fruit
95,95,17060203,Big Deer Creek,998.3661151,4.78,8.3,4772.4,8286.8,0,1,Conf_Floodplain,CF,good,intact,good,good,Straight Forward - Quick Return
96,96,17060203,Big Deer Creek,1040.605437,4.7,8.3,4889.6,8634.9,0,1,Conf_Floodplain,CF,good,intact,good,good,Straight Forward - Quick Return
97,97,17060203,Big Deer Creek,1049.266756,4.7,8.3,4929.8,8705.7,0,1,Conf_Floodplain,CF,good,intact,good,good,Straight Forward - Quick Return
98,98,17060203,Big Deer Creek,1030.872645,4.72,8.3,4865.2,8555.3,0,1,Conf_Floodplain,CF,good,intact,good,intact,Strategic - Long-Term Investment
99,99,17060203,Big Deer Creek,999.3744879,4.72,8.3,4718.7,8297.8,0,1,Conf_Floodplain,CF,moderate,intact,moderate,moderate,NA
108,108,17060201,Big Lake Creek,985.0040168,3.58,6.65,3528.1,6553.6,0,1,Conf_Floodplain,CF,good,intact,good,intact,Strategic - Long-Term Investment
109,109,17060201,Big Lake Creek,988.2072907,3.6,6.74,3559.2,6663.6,0,1,Conf_Floodplain,CF,good,intact,good,good,NA
110,110,17060201,Big Lake Creek,969.841817,3.6,6.8,3493.8,6599.3,1,1,Conf_Floodplain,CF,good,intact,good,good,NA
116,116,17060203,Blackbird Creek,861.296971,3.13,6.03,2696.3,5194.4,0,1,Conf_Floodplain,CF,poor,intact,poor,poor,NA
117,117,17060203,Blackbird Creek,1022.526755,3.2,6.02,3272.1,6155.7,0,1,Conf_Floodplain,CF,poor,intact,poor,good,Straight Forward - Quick Return
118,118,17060203,Blackbird Creek,1040.27956,3.2,6.06,3328.1,6302.6,0,1,Conf_Floodplain,CF,poor,intact,poor,moderate,Strategic - Long-Term Investment
119,119,17060203,Blackbird Creek,1025.078833,3.2,6.1,3280.2,6252.9,0,1,Conf_Floodplain,CF,poor,intact,poor,poor,NA
165,165,17060201,Cash Creek,1014.942834,2.7,5.04,2740.7,5116.1,1,1,Conf_Floodplain,CF,good,intact,good,good,NA
185,185,17060201,Challis Creek,879.0181261,7.2,12.1,6329.1,10636.3,1,1,Wandering_Gravel,WA,moderate,intact,moderate,moderate,NA
186,186,17060201,Challis Creek,1021.123208,7.2,12.1,7352.6,12356.5,1,1,Wandering_Gravel,WA,moderate,intact,moderate,moderate,NA
187,187,17060201,Challis Creek,1040.906683,7.26,12.1,7555.7,12592.8,1,1,Wandering_Gravel,WA,moderate,intact,moderate,good,Strategic - Long-Term Investment
