RECNO,GEOC_ID,HUC_08,GNIS_NAME,LENGTH,WIDE_WW,WIDE_BF,AREA_WW,AREA_BF,SPAWN,REAR,RT_FISHUSE,RS,GEO_COND,COND_HIST,COND_EX,COND_RP,oPBRC_CR
1,1,17060203,Anderson Creek,912.710687338,1.9,4.25,1735.9,3883,1,1,Conf_Floodplain,CF,moderate,intact,moderate,good,Strategic - Long-Term Investment
2,2,17060203,Anderson Creek,951.86993998,1.9,4.25,1810.6,4050,1,1,Conf_Floodplain,CF,moderate,intact,moderate,good,Strategic - Long-Term Investment
3,3,17060203,Anderson Creek,954.253351978,1.9,4.24,1815.1,4050.5,1,1,Conf_Floodplain,CF,poor,intact,poor,moderate,Strategic - Long-Term Investment
9,9,17060201,Basin Creek,871.65290485,4.78,8.45,4166.7,7365.8,1,1,Margin_Controlled,MC,good,intact,good,intact,Strategic - Long-Term Investment
10,10,17060201,Basin Creek,988.216664533,4.9,8.7,4844.3,8601.2,1,1,Margin_Controlled,MC,moderate,intact,moderate,good,Strategic - Long-Term Investment
11,11,17060201,Basin Creek,991.708262477,4.94,8.74,4900.9,8670.9,1,1,Margin_Controlled,MC,moderate,intact,moderate,moderate,NA
12,12,17060201,Basin Creek,1012.9986003,5.1,8.9,5167.1,9017,1,1,Margin_Controlled,MC,moderate,intact,moderate,moderate,NA
13,13,17060201,Basin Creek,617.242912563,4.3,7.8,2654.8,4815.7,1,1,Margin_Controlled,MC,good,intact,good,good,NA
14,14,17060201,Basin Creek,1005.95072323,4.4,7.86,4427.2,7908.5,1,1,Margin_Controlled,MC,good,intact,good,good,NA
15,15,17060201,Basin Creek,988.011610298,4.4,7.9,4349.1,7808.6,1,1,Margin_Controlled,MC,good,intact,good,good,Straight Forward - Quick Return
16,16,17060201,Basin Creek,998.75047565,4.4,7.9,4395.8,7892.5,1,1,Margin_Controlled,MC,good,intact,good,good,NA
17,17,17060201,Basin Creek,386.644546211,4,7.3,1547.4,2823.9,1,1,Margin_Controlled,MC,good,intact,good,intact,Easiest - Low-Hanging Fruit
18,18,17060201,Basin Creek,955.911933296,4,7.18,3826.8,6869.2,1,1,Margin_Controlled,MC,good,intact,good,intact,Easiest - Low-Hanging Fruit
19,19,17060201,Basin Creek,957.397194548,4.15,7.35,3976.4,7042.6,1,1,Margin_Controlled,MC,good,intact,good,intact,Strategic - Long-Term Investment
20,20,17060201,Basin Creek,965.344309744,4.18,7.4,4038,7148.6,1,1,Margin_Controlled,MC,good,intact,good,intact,Easiest - Low-Hanging Fruit
21,21,17060201,Basin Creek,953.042035418,4.14,7.56,3949,7211.2,1,1,Margin_Controlled,MC,good,intact,good,intact,Strategic - Long-Term Investment
22,22,17060201,Basin Creek,1012.42156508,3.76,6.94,3808,7028.6,1,1,Margin_Controlled,MC,good,intact,good,good,Straight Forward - Quick Return
23,23,17060201,Basin Creek,1141.51427562,2.98,5.76,3403.5,6578.5,1,1,Margin_Controlled,MC,good,intact,good,intact,Strategic - Long-Term Investment
24,24,17060201,Basin Creek,955.166220024,3.16,6.06,3020.9,5793.2,1,1,Margin_Controlled,MC,good,intact,good,intact,Strategic - Long-Term Investment
27,27,17060201,Bayhorse Creek,1032.96816784,3.68,6.76,3801.1,6982.5,1,1,Conf_Floodplain,CF,moderate,intact,moderate,moderate,NA
