GU,GUKey,UnitID,ForceType,ForceElem,ForceHyd,Perimeter,ElongRatio,Morphology,Position,Orient,OrientCat,bfSlope,bfSlopeSm,bedSlope,Area,Width,Length,LtoWRatio,bfwRatio,ThalwegCh,ThalwegTyp,ThalwegCt,VisitID
Bank,Bk,1,NA,NA,NA,19.60000093,0.20268309,Elongated,Margin Attached,10.66496219,Longitudinal,1.355559044,1.206065443,17.42964437,2.230000213,0.268234556,8.313620175,30.99384476,0.032317416,None,None,0,1027
Bank,Bk,2,NA,NA,NA,48.60000231,0.196027353,Elongated,Margin Attached,-0.98517303,Longitudinal,1.360894088,1.001341395,23.33391318,10.66000101,0.567205008,18.79391201,33.13424908,0.068337953,None,None,0,1027
Bank,Bk,3,NA,NA,NA,34.60000164,0.23951617,Elongated,Margin Attached,-1.781647531,Longitudinal,0.891870658,0.76734825,17.42638578,7.240000688,0.571148315,12.67621825,22.1942671,0.06881305,None,None,0,1027
Bank,Bk,4,NA,NA,NA,124.8000059,0.135150459,Elongated,Margin Attached,5.821179662,Longitudinal,0.826131042,0.728601317,23.3920169,33.27000316,0.690857863,48.15752261,69.70684592,0.083235887,None,None,0,1027
Bank,Bk,5,NA,NA,NA,33.80000161,0.215775993,Elongated,Margin Attached,6.078194123,Longitudinal,0.892832996,0.84889457,21.06123363,8.390000797,0.553896832,15.14722653,27.34665672,0.066734558,None,None,0,1027
Bank,Bk,6,NA,NA,NA,167.0000079,0.108635658,Elongated,Margin Attached,8.377776675,Longitudinal,1.535474475,0.99750698,26.39678597,40.11000381,0.609738345,65.78232147,107.8861483,0.073462451,None,None,0,1027
Bank,Bk,7,NA,NA,NA,45.60000216,0.17880715,Elongated,Margin Attached,-0.566129917,Longitudinal,1.023994061,0.83086821,24.70467045,6.680000633,0.409560335,16.31017475,39.82361905,0.049344619,None,None,0,1027
Bank,Bk,8,NA,NA,NA,82.80000393,0.162494849,Elongated,Margin Attached,-8.849126359,Longitudinal,1.024151088,0.615781399,25.30925894,17.72000168,0.606200422,29.23125922,48.22045341,0.073036195,Main,Split,1,1027
Bank,Bk,9,NA,NA,NA,231.199911,0.107786244,Elongated,Margin Attached,7.967673067,Longitudinal,0.934539322,0.789643736,21.27742054,59.64000067,0.737695127,80.84640725,109.5932511,0.088878931,None,None,0,1027
Bank,Bk,10,NA,NA,NA,106.000005,0.13443493,Elongated,Margin Attached,36.11598274,Diagonal,1.570705441,1.232514061,32.05050238,21.84000207,0.556779479,39.22558731,70.45084954,0.067081865,None,None,0,1027
